prob_bin,implied,realised,n,bookmaker
"(0.0, 0.05]",0.04047341320982889,0.0,18,Pinnacle
"(0.05, 0.1]",0.07978546572842427,0.05844155844155844,154,Pinnacle
"(0.1, 0.15]",0.1265423181874303,0.09034267912772585,321,Pinnacle
"(0.15, 0.2]",0.17775834034813637,0.18548387096774194,496,Pinnacle
"(0.2, 0.25]",0.22723623901482462,0.2460431654676259,695,Pinnacle
"(0.25, 0.3]",0.2745391583338705,0.24364592462751972,1141,Pinnacle
"(0.3, 0.35]",0.31946929220111336,0.33225283630470015,617,Pinnacle
"(0.35, 0.4]",0.3749239756531627,0.3871951219512195,328,Pinnacle
"(0.4, 0.45]",0.4230131139409149,0.46357615894039733,302,Pinnacle
"(0.45, 0.5]",0.4744969560981623,0.4603174603174603,252,Pinnacle
"(0.5, 0.55]",0.524410323749548,0.5042016806722689,238,Pinnacle
"(0.55, 0.6]",0.5739337426168862,0.5847953216374269,171,Pinnacle
"(0.6, 0.65]",0.6251207398574687,0.6285714285714286,140,Pinnacle
"(0.65, 0.7]",0.6740931444090346,0.6320754716981132,106,Pinnacle
"(0.7, 0.75]",0.720508059629944,0.8476190476190476,105,Pinnacle
"(0.75, 0.8]",0.7742939322810866,0.8235294117647058,68,Pinnacle
"(0.8, 0.85]",0.8192973936537524,0.8888888888888888,36,Pinnacle
"(0.85, 0.9]",0.8722798834682545,0.9375,16,Pinnacle
"(0.9, 0.95]",0.9274975751697382,1.0,1,Pinnacle
"(0.0, 0.05]",0.04462495400725828,0.0,15,Bet365
"(0.05, 0.1]",0.08346050129751796,0.051094890510948905,137,Bet365
"(0.1, 0.15]",0.12769700928876446,0.0802675585284281,299,Bet365
"(0.15, 0.2]",0.17859771087577828,0.1883495145631068,515,Bet365
"(0.2, 0.25]",0.22834526965730326,0.22377622377622378,715,Bet365
"(0.25, 0.3]",0.27463134681790724,0.2573099415204678,1197,Bet365
"(0.3, 0.35]",0.3212921721548559,0.3374340949033392,569,Bet365
"(0.35, 0.4]",0.37539860309839895,0.36990595611285265,319,Bet365
"(0.4, 0.45]",0.4232034724279565,0.47435897435897434,312,Bet365
"(0.45, 0.5]",0.4769809446658276,0.4460431654676259,278,Bet365
"(0.5, 0.55]",0.5259949478426643,0.5483870967741935,217,Bet365
"(0.55, 0.6]",0.5723041806588717,0.5549132947976878,173,Bet365
"(0.6, 0.65]",0.6243118068465089,0.625,152,Bet365
"(0.65, 0.7]",0.6773004638535086,0.7,120,Bet365
"(0.7, 0.75]",0.7218370396372512,0.8433734939759037,83,Bet365
"(0.75, 0.8]",0.7735326254647266,0.8461538461538461,65,Bet365
"(0.8, 0.85]",0.8175654569001948,0.9285714285714286,28,Bet365
"(0.85, 0.9]",0.8621001133365375,0.9230769230769231,13,Bet365
"(0.9, 0.95]",0.9169273780203687,1.0,1,Bet365
